record;qn0part1;qn0part2;qn0part3;qn0part4;qn0part5;qn0part6;qn0part7;qn0part8;qn1part1;qn1part2;qn1part3;qn1part4;qn1part5;qn1part6;qn2part1;qn2part2;qn3part1;qn3part2;qn4;qn5;qn6;qn7;qn8;qn9;qn10;qn11;qn12;qn13;qn14;qn15;qn16;qn17;qn18;qn19;qn20;qn21part1;qn21part2;qn21part3;qn21part4;qn22part1;qn22part2;qn22part3;qn23part1;qn23part2;qn24part1;qn24part2;qn25part1;qn25part2;qn25part3;qn25part4;qn26;qn27;qn28part1;qn28part2;qn28part3;qn28pt3pt1;qn28pt3pt2;qn28pt3pt3;qn28pt3pt4;qn28pt3pt5;qn28pt3pt6;qn28pt3pt7;qn28part4;qn28part5;qn28part6;qn29part1;qn29part2;qn29part3;qn29part4;qn29pt4pt1;qn29pt4pt2;qn29pt4pt3;qn29pt4pt4;qn29pt4pt5;qn29pt4pt6;qn29pt4pt7;qn29part5;qn29part6;qn29part7;qn29part8;qn30
1;1;S001;T1;S001-T1-0011;2;2;;;13;1;S001;3;1;1;A;C;D;B;C;B;B;B;A;C;A;C;B;C;C;C;B;B;B;D;B;2;1;2;1;2;1;2;2;1;4;3;1;2;2;2;4;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;A;B;D;G
2;6;S001;T1;S001-T1-0061;2;2;;;12;1;S001;3;1;1;B;A;C;B;C;C;D;A;A;C;A;C;B;B;A;C;B;C;B;C;B;1;1;2;1;2;1;2;2;1;3;2;3;2;1;2;4;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;G
3;7;S001;T1;S001-T1-0071;2;2;;;12;2;S001;3;1;1;B;A;A;B;A;C;A;A;B;C;A;C;B;B;C;C;B;C;B;D;C;2;1;2;1;2;1;2;2;0;3;2;3;2;2;2;4;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;D;C;G
4;8;S001;T1;S001-T1-0081;2;2;;;13;2;S001;3;1;1;B;A;A;C;C;C;B;A;B;C;A;C;B;D;C;C;B;B;B;D;C;1;1;2;2;2;1;2;2;1;3;2;3;2;1;2;3;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;G
5;10;S001;T1;S001-T1-0101;2;2;;;12;1;S001;3;1;1;B;A;A;B;C;C;B;B;A;B;A;C;B;B;C;C;D;B;B;D;C;1;1;2;1;1;1;2;2;1;3;3;3;2;1;2;1;C;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;G
6;12;S001;T1;S001-T1-0121;2;2;;;13;1;S001;3;1;1;B;A;A;D;C;B;B;A;A;C;A;C;B;C;C;C;B;C;B;D;C;1;1;2;1;1;1;2;2;1;3;2;3;2;1;2;1;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;G
7;13;S001;T1;S001-T1-0131;2;2;;;14;1;S001;3;1;1;B;A;A;B;A;C;B;A;C;C;A;C;B;B;A;C;B;B;B;C;C;2;0;2;1;2;1;2;2;1;3;4;3;2;1;2;4;C;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;G
8;14;S001;T1;S001-T1-0141;2;2;;;11;1;S001;3;1;1;B;B;A;C;A;B;B;B;A;C;A;C;B;C;A;C;D;C;B;C;B;1;1;2;1;2;1;2;2;1;3;2;3;2;1;2;4;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;A
9;17;S001;T1;S001-T1-0171;2;2;;;13;1;S001;3;1;1;B;B;C;A;B;B;B;A;A;C;A;C;B;B;A;C;B;C;B;D;C;2;1;2;1;2;1;2;2;1;4;5;3;2;1;2;1;A;E;A;2;;;;;;;;C;E;C;E;F;A;2;;;;;;;;C;C;A;C;G
10;18;S001;T1;S001-T1-0181;2;2;;;14;2;S001;3;1;1;D;A;C;B;B;C;B;A;B;C;A;C;B;D;C;A;B;C;B;D;B;2;1;2;1;1;2;1;2;1;3;1;3;2;1;2;4;D;E;A;2;;;;;;;;C;E;C;E;F;A;2;;;;;;;;C;E;B;D;G
11;19;S001;T1;S001-T1-0191;2;2;;;12;1;S001;3;1;1;B;A;A;C;B;B;B;A;A;C;A;C;B;C;C;A;B;B;B;D;B;1;1;2;1;2;1;2;2;1;5;3;3;2;1;2;4;C;B;A;2;;;;;;;;B;E;A;E;F;A;2;;;;;;;;C;A;D;C;G
12;23;S001;T1;S001-T1-0231;2;2;;;13;1;S001;3;1;1;B;A;A;A;B;B;A;A;A;C;A;C;B;B;A;C;B;C;B;C;C;1;1;2;1;2;1;2;2;1;3;4;3;2;1;2;1;D;E;A;2;;;;;;;;C;E;A;E;F;A;2;;;;;;;;C;C;B;C;G
1;1;S002;T1;S002-T1-0011;2;2;;;12;2;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;2;1;2;1;4;3;2;2;2;1;2;A;A;D;2;;;;;;;;B;B;D;B;B;D;2;;;;;;;;B;C;D;A;G
2;3;S002;T1;S002-T1-0031;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;A;A;2;;;;;;;;B;C;D;C;C;E;2;;;;;;;;B;C;D;A;G
3;4;S002;T1;S002-T1-0041;2;2;;;11;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;1;1;2;A;B;A;2;;;;;;;;B;C;D;C;C;A;2;;;;;;;;B;C;D;A;G
4;5;S002;T1;S002-T1-0051;2;2;;;13;2;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;0;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;2;4;3;3;3;4;A;B;C;2;;;;;;;;B;C;D;C;C;A;2;;;;;;;;0;C;D;A;G
5;6;S002;T1;S002-T1-0061;2;2;;;13;2;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;1;2;2;2;A;B;B;2;;;;;;;;C;D;D;E;C;F;2;;;;;;;;B;C;C;E;G
6;7;S002;T1;S002-T1-0071;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;B;A;1;DON'T EAT OVER DOSE IT CAN CAUSE DEATH. IF YOU REMOVE THE BAD TEETH IT MAY CAUSE;STOMACH PAIN. IF YOU DON'T HAVE MEDICAL TREATMENT IT MAY CAUSE DEATH.;;;;;;B;C;D;A;A;A;2;;;;;;;;B;C;D;A;G
7;8;S002;T1;S002-T1-0081;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;C;B;2;;;;;;;;B;C;D;C;C;A;2;;;;;;;;B;C;D;D;G
8;10;S002;T1;S002-T1-0101;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;0;1;2;1;2;1;4;3;2;2;2;2;2;A;B;E;2;;;;;;;;B;C;D;B;B;E;2;;;;;;;;A;B;D;A;G
9;11;S002;T1;S002-T1-0111;2;2;;;12;2;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;B;A;A;C;A;A;B;C;2;2;1;2;2;1;2;2;1;4;3;2;2;2;1;2;A;B;B;2;;;;;;;;B;C;D;D;D;B;2;;;;;;;;B;C;D;A;G
10;12;S002;T1;S002-T1-0121;2;2;;;13;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;2;1;1;2;2;1;3;3;2;2;1;1;2;A;A;C;2;;;;;;;;B;C;D;C;C;A;2;;;;;;;;0;C;D;A;G
11;10;S002;T1;S002-T1-0131;2;2;;;10;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;5;2;A;A;B;2;;;;;;;;0;B;B;A;B;C;2;;;;;;;;A;C;D;A;G
12;15;S002;T1;S002-T1-0151;2;2;;;11;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;1;1;1;2;2;1;2;2;4;3;2;3;2;2;2;A;A;B;2;;;;;;;;B;C;D;B;B;B;1;DO NOT TAKE EXPIRED DURG YOU MAY DIE.;;;;;;;B;C;D;A;G
13;18;S002;T1;S002-T1-0181;2;2;;;12;1;S002;3;2;1;A;A;C;A;B;A;A;C;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;2;2;2;1;2;2;1;4;3;2;2;5;5;2;B;A;A;2;;;;;;;;C;0;D;A;F;C;2;;;;;;;;A;C;A;A;G
14;19;S002;T1;S002-T1-0191;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;A;A;1;MEDICINE CAN CAUSE TO OVER DOSE WHICH CAN LEAD TO DEATH.;;;;;;;B;C;0;A;A;A;2;;;;;;;;B;C;D;A;G
15;21;S002;T1;S002-T1-0211;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;1;1;1;2;1;4;3;2;2;2;1;2;A;A;A;2;;;;;;;;B;B;D;B;B;D;2;;;;;;;;B;C;D;A;G
16;23;S002;T1;S002-T1-0231;2;2;;;13;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;C;B;C;2;2;1;1;2;2;1;2;1;4;3;2;2;2;2;2;A;A;A;2;;;;;;;;B;C;D;C;C;A;2;;;;;;;;B;C;D;A;G
17;25;S002;T1;S002-T1-0251;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;5;2;B;B;A;2;;;;;;;;B;C;D;A;A;A;2;;;;;;;;B;C;D;A;G
18;27;S002;T1;S002-T1-0271;2;2;;;12;1;S002;3;2;1;0;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;B;A;2;;;;;;;;B;C;B;B;B;A;2;;;;;;;;B;C;D;A;G
19;28;S002;T1;S002-T1-0281;2;2;;;14;2;S002;3;2;1;B;B;A;C;A;C;A;A;C;B;B;B;B;A;A;A;C;A;A;A;0;2;2;1;1;2;1;2;2;1;4;3;1;1;1;1;2;B;A;A;2;;;;;;;;0;C;D;D;A;A;2;;;;;;;;C;D;D;A;G
20;29;S002;T1;S002-T1-0291;2;2;;;13;2;S002;3;2;1;B;A;A;C;A;B;0;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;3;A;B;F;2;;;;;;;;B;A;D;E;E;A;2;;;;;;;;A;C;D;A;G
21;30;S002;T1;S002-T1-0301;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;B;A;0;A;A;C;A;A;C;2;2;1;1;1;2;1;2;1;4;3;2;2;2;2;2;A;B;E;2;;;;;;;;B;C;D;B;B;E;2;;;;;;;;A;B;D;A;G
22;31;S002;T1;S002-T1-0311;2;2;;;13;2;S002;3;2;1;B;A;A;A;C;A;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;0;2;2;2;1;1;2;A;A;E;2;;;;;;;;A;C;D;C;C;A;2;;;;;;;;B;C;A;A;G
23;32;S002;T1;S002-T1-0321;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;5;2;A;A;B;2;;;;;;;;0;B;B;A;B;C;2;;;;;;;;A;C;D;A;G
24;34;S002;T1;S002-T1-0341;2;2;;;12;2;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;E;E;2;;;;;;;;B;C;D;C;C;E;2;;;;;;;;B;C;D;A;G
25;36;S002;T1;S002-T1-0361;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;B;A;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;1;1;2;A;A;A;2;;;;;;;;B;C;B;B;A;A;2;;;;;;;;B;C;D;A;G
26;37;S002;T1;S002-T1-0371;2;2;;;12;1;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;2;2;1;2;A;B;A;1;DON'T DRINK MILK BECAUSE IT MAY LEAD TO STOMACH PAIN.;;;;;;;B;C;D;B;C;A;2;;;;;;;;B;C;D;A;G
27;45;S002;T1;S002-T1-0451;2;2;;;11;2;S002;3;2;1;B;A;A;C;A;B;A;A;C;B;B;B;A;D;A;A;C;A;A;B;C;2;2;1;1;2;1;2;2;1;4;3;2;0;1;2;2;A;B;A;2;;;;;;;;B;C;D;C;C;A;2;;;;;;;;B;C;D;A;G
