recordid,qn0part1,qn0part2,qn0part3,child1school,Child1studyid,child1teacher,child2school,child2studyid,child2teacher,child3school,Child3studyid,Child3teacher,Child4school,Child4studyid,Child4teacher,Child5school,Child5studyid,Child5teacher,Child6school,Child6studyid,Child6teacher,qn1part2,qn1part3,qn1part4,qn1part5,qn1part6,qn1part7,qn1part8,govt,pnfps,pfps,altmed,frelatives,hworkers,comleaders,radiotv,altmedpract,internet,qn2part1,qn2part2,qn3part1,qn3part2,qn4,qn5,qn6,qn7,qn8,qn9,qn10,qn11,qn12,qn13,qn14,qn15,qn16,qn17,qn18,qn19,qn20,qn21part1,qn21part2,qn21part3,qn21part4,qn22part1,qn22part2,qn22part3,qn23part1,qn23part2,qn24part1,qn24part2,qn25part1,qn25part2,qn25part3,qn25part4,qn26,qn27,qn28,qn29,qn30
1,S007-T1-0080,1,1,S007,S007-T1-0081,S007-T1,,,,,,,,,,,,,,,,43,2,2,2,3,0,5,2,2,1,2,1,2,2,2,2,2,B,A,A,A,A,A,A,A,C,B,C,A,C,D,A,B,C,A,A,B,A,2,2,1,1,1,2,2,2,1,3,3,3,3,2,2,4,C,C,B,C
2,S007-T1-0100,1,1,S007,S007-T1-0101,S007-T1,,,,,,,,,,,,,,,,37,1,2,2,1,Stay home parent,1,2,2,1,2,2,1,2,2,2,2,B,A,A,C,B,C,D,C,A,A,A,C,B,B,B,C,C,C,B,C,B,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,C,C,A,C
3,S007-T1-0180,1,1,S007,S007-T1-0181,S007-T1,,,,,,,,,,,,,,,,35,1,2,2,2,Retail shop,0.5,2,2,1,2,2,1,2,2,2,2,B,A,A,A,A,B,B,A,B,B,B,B,A,D,A,B,B,B,A,D,B,2,2,1,1,1,2,2,2,1,3,4,3,4,3,3,2,D,D,D,D
4,S007-T1-0210,2,1,S007,S007-T1-0211,S007-T1,,,,,,,,,,,,,,,,50,1,1,1,3,Teaching,5,2,2,1,2,2,1,2,2,2,2,B,A,A,C,A,B,A,C,C,B,B,B,A,A,C,A,A,B,A,D,C,2,2,1,1,2,1,2,2,1,2,3,3,4,4,4,3,,,,
5,S013-T1-0020,2,1,S013,S013-T1-0021,S013-T1,,,,,,,,,,,,,,,,56,2,1,2,1,Farming,6,2,1,2,2,2,1,2,2,2,2,D,C,D,C,C,B,B,B,C,B,C,C,C,D,A,A,C,A,C,B,C,2,2,2,1,1,1,1,2,1,3,3,3,3,3,3,3,,,,
6,S013-T1-0060,2,2,,,,,,,,,,,,,,,,,,,35,1,2,2,2,Stay home parent,1,2,1,2,2,2,1,2,2,2,2,A,A,B,D,B,A,A,B,C,B,B,C,A,A,B,B,D,B,C,B,A,2,2,2,2,1,2,2,1,1,3,5,3,4,2,4,3,,,,
7,S013-T1-0210,1,1,S013,S013-T1-0211,S013-T1,,,,,,,,,,,,,,,,20,1,2,2,2,Retail shop,1,2,1,2,2,2,1,2,2,2,2,B,A,A,A,B,B,B,A,C,B,B,C,A,D,A,C,B,C,C,B,A,1,2,2,1,1,1,2,1,1,3,3,0,0,2,2,3,C,D,D,C
8,S013-T1-0220,1,1,S013,S013-T1-0221,S013-T1,,,,,,,,,,,,,,,,40,1,1,1,1,Stay home parent,1,2,1,2,2,2,1,2,1,2,2,B,A,A,A,A,B,C,A,C,B,B,B,A,D,A,C,A,C,A,B,A,2,1,2,2,2,1,2,2,1,3,2,2,3,2,2,3,C,C,D,C
9,S013-T1-0320,1,1,S013,S013-T1-0321,S013-T1,,,,,,,,,,,,,,,,30,1,2,2,2,Retail shop,0,2,2,1,2,2,1,2,2,2,2,B,A,A,C,A,B,A,A,C,B,B,B,A,D,A,B,A,A,C,B,A,2,2,1,1,1,1,2,2,1,3,4,3,3,3,4,4,D,D,D,C
10,S013-T1-0420,2,1,S013,S013-T1-0421,S013-T1,,,,,,,,,,,,,,,,38,1,2,2,1,Retail shop,2,2,1,2,2,2,1,2,2,2,2,B,A,A,A,A,C,A,B,C,B,B,A,A,B,C,A,C,B,B,B,A,2,2,2,1,2,1,2,2,1,2,2,2,3,3,1,3,,,,
11,S013-T1-0550,1,1,S013,S013-T1-0551,S013-T1,,,,,,,,,,,,,,,,52,1,2,2,3,Farming,0,2,1,2,2,1,2,2,2,2,2,B,A,A,A,A,B,A,A,C,B,B,B,A,D,A,B,A,A,A,B,A,2,2,1,1,2,1,2,2,1,1,3,2,3,4,3,3,D,D,C,D
12,S022-T1-0050,1,1,S022,S022-T1-0051,S022-T1,,,,,,,,,,,,,,,,40,1,2,2,1,Stay home parent,0,0,0,0,0,0,0,0,0,0,0,D,A,A,A,B,A,B,A,B,C,A,C,B,C,B,C,D,B,A,C,B,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,D,D,C,D
