recordid,qn0part1,qn0part2,qn0part3,qn0part4,qn0pt5pt1,study,tr,qn0pt5pt2,study1,tr1,qn0pt5pt3,study2,tr2,qn0pt5pt4,study3,tr3,qn0pt5pt5,study4,tr4,qn0pt5pt6,study5,tr5,qn1part1,qn1part2,qn1part3,qn1part4,qn1part5,qn1part6,qn1part7,qn1pt9pt1,qn1pt9pt2,qn1pt9pt3,qn1pt9pt4,qn1pt10pt,qn1pt10pt1,qn1pt10pt2,qn1pt10pt3,qn1pt10pt4,qn1pt10pt5,qn2part1,qn2part2,qn3part1,qn3part2,qn4,qn5,qn6,qn7,qn8,qn9,qn10,qn11,qn12,qn13,qn14,qn15,qn16,qn17,qn18,qn19,qn20,qn21part1,qn21part2,qn21part3,qn21part4,qn22part1,qn22part2,qn22part3,qn23part1,qn23part2,qn24part1,qn24part2,qn25part1,qn25part2,qn25part3,qn25part4,qn26,qn27,qn28part1,qn28part2,qn28part3,qn28pt3pt1,qn28pt3pt2,qn28pt3pt3,qn28pt3pt4,qn28pt3pt5,qn28pt3pt6,qn28pt3pt7,qn28part4,qn28part5,qn28part6,qn29part1,qn29part2,qn29part3,qn29part4,qn29pt4pt1,qn29pt4pt2,qn29pt4pt3,qn29pt4pt4,qn29pt4pt5,qn29pt4pt6,qn29pt4pt7,qn29part5,qn29part6,qn29part7,qn29part8,qn30
94,S007-T1-0180,1,1,2,,,,,,,,,,,,,,,,,,,35,1,1,1,2,SHOP ATTENDANT,0.5,1,2,1,2,2,1,2,2,2,2,B,A,A,A,A,B,C,A,C,B,A,B,C,D,A,C,A,A,B,B,C,1,1,1,1,1,2,2,1,1,4,4,3,2,2,2,4,B,C,D,1,MEASLES- OMWANA OMUWA MUKENE OMUTOKOSE ASOBOLE OKUWONA.,,,,,,,B,A,A,B,C,D,1,"OKUBA EJJI, N'OGATAMU ENNIIMU, NONYWA, EKIFUBA KIKUTUKA.",,,,,,,B,A,B,A,E
70,S013-T1-0060,2,1,2,,,,,,,,,,,,,,,,,,,43,1,2,2,2,BUSINESS WOMAN / PEASANT,5,2,2,1,2,2,1,2,2,2,2,B,A,A,D,B,B,A,A,C,B,A,B,A,D,A,B,A,B,C,D,C,2,1,2,1,2,2,1,2,1,3,4,2,3,4,4,4,B,A,E,2,,,,,,,,B,A,B,B,E,C,2,,,,,,,,B,A,C,D,A
69,S013-T1-0210,1,1,2,,,,,,,,,,,,,,,,,,,28,1,2,2,2,FARMER,1.5,1,2,2,2,2,1,2,2,2,2,A,B,A,B,C,B,C,A,B,C,A,C,B,D,B,A,C,B,A,C,A,2,1,1,2,1,1,2,2,1,3,2,2,3,1,5,3,E,E,E,0,,,,,,,,A,A,A,C,C,E,0,,,,,,,,C,D,A,C,D
71,S013-T1-0420,2,1,2,,,,,,,,,,,,,,,,,,,38,1,2,2,1,SHOP KEEPER,3,2,1,2,2,2,1,2,2,2,2,A,B,A,A,C,A,B,B,A,A,C,D,A,B,A,B,D,C,A,A,B,1,2,1,1,2,1,1,2,2,3,2,3,1,4,5,3,B,B,F,1,OKUSULA MU KATIMBA KIZIYIZA ENSIRI (OMUSUJJA).,,,,,,,C,E,C,B,B,A,1,SINGA OSAWA AWAKA ENSIRI TEZIJJA.,,,,,,,B,E,B,D,A
16,S022-T1-0050,1,1,2,,,,,,,,,,,,,,,,,,,41,1,1,2,1,HOUSE HELPER / KEEPERS IN THE SISTER'S CONVENT (CHURCH),0.5,2,1,2,2,2,1,2,2,2,2,B,A,A,A,A,A,B,A,C,B,A,A,C,A,C,B,A,B,A,B,C,1,1,2,1,1,2,1,1,1,2,2,0,0,3,2,2,B,C,B,2,,,,,,,,B,A,B,C,C,B,1,"THE PARTICIPANT SAID THAT WHEN SHE HEARD A PAINFUL TOOTH, SHE HAD TO GO AND",REMOVE IT BECAUSE SHE HAD TRIED ALL MEDICINE BUT IT FAILED.,,,,,,B,A,B,C,A
21,S022-T1-0120,2,1,2,,,,,,,,,,,,,,,,,,,28,1,2,2,2,WEAR SHOP,0.5,2,1,2,2,2,1,2,2,2,2,B,A,A,C,A,B,A,A,B,B,B,B,A,D,A,B,A,A,A,B,A,1,2,1,1,1,1,2,2,1,4,4,2,3,2,5,4,A,A,A,1,A GIVEN SYRUP CAUSED ALLERGY TO SOMEONE (SKIN RASH) AND PEOPLE SAID THAT IT,CAUSE ALLERGY TO EVERYONE TAKING IT.,,,,,,C,A,D,C,E,A,1,THE SYRUP (KISAKYAMUZADDE) CAN CURE FLUE AND COUGH.,,,,,,,C,A,B,A,D
2,S022-T1-0170,1,1,2,,,,,,,,,,,,,,,,,,,27,1,2,2,1,HOUSE WIFE,50,1,2,2,2,2,1,2,2,2,2,D,A,A,C,A,B,C,A,C,B,B,A,A,D,A,C,C,B,A,D,C,1,1,1,2,1,1,1,1,1,4,3,3,4,2,3,3,B,B,A,1,"BAGAMBA NTI W'OBA NGA OMUTWE NGA GUKULUMA, OSOBOLA OKUKOSEZA AMMAZI NGA OGANYWA",ELA NO BA BULUNGI.,,,,,,B,C,D,B,C,A,2,,,,,,,,C,C,C,B,D
23,S022-T1-0190,2,1,2,,,,,,,,,,,,,,,,,,,47,1,1,1,3,TEACHER,1,1,2,2,2,2,1,2,2,2,2,B,A,A,A,A,C,D,B,B,B,B,C,B,D,A,C,C,A,A,B,C,2,1,1,1,1,1,2,2,1,3,3,1,3,2,2,4,B,A,A,1,TABLETS LIKE PANADOL CAN RELEASE PAIN.,,,,,,,B,B,C,A,A,A,2,,,,,,,,B,B,B,C,E
11,S022-T1-0260,1,1,2,,,,,,,,,,,,,,,,,,,46,2,1,2,2,FARMER,4,1,2,2,2,2,1,2,2,2,2,B,C,A,A,A,C,C,A,B,B,A,B,C,A,C,A,A,A,B,A,C,1,1,1,2,1,1,2,2,2,4,2,1,1,1,2,4,B,B,C,1,"THE PARTICIPANT SAID THAT WHEN HE HEARD A PROBLEM WITH THE EYES DUE TO PRESSURE,",HE WAS TOLD TO USE LOCAL HERBS THAT THEY WOULD HELP HIM FEEL BETTER.,,,,,,B,B,A,B,B,C,2,,,,,,,,B,B,B,C,D
8,S022-T1-0420,1,1,2,,,,,,,,,,,,,,,,,,,55,1,1,2,3,TEACHER,0.2,2,1,2,2,2,1,2,2,2,2,B,A,A,C,A,B,A,A,C,B,B,B,A,D,B,B,A,A,A,B,C,2,2,1,1,1,1,1,2,1,4,2,4,4,3,3,4,B,B,D,1,I HEARD A CLAIM THAT NANYONGA'S SOIL COULD CURE PEOPLE FROM HIV AND IT WAS SAID,PEOPLE WHO TOOK THIS SOIL WERE CURED FROM HIV.,,,,,,A,E,D,C,F,A,1,I ALWAYS USE PANADOL IN CASE OF ANY PAIN ON MY BODY BECAUSE ITS A STRONG PAIN,KILLER. MOST TIMES I DONT NEED TO GO TO A DOCTOR / HOSPITAL BECAUSE PEOPLE SAY,"IT KILLS PAIN, UNLESS THE PAIN PERSISTS THATS WHEN I GO TO THE HOSPITAL.",,,,,B,C,B,D,E
